sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_0d87fb397ae3f92d	GO Cellular Component	endoplasmic reticulum membrane (GO:0005789)	16	4	APH1B;DAD1;DISP3;DPM2;EMC10;EMC6;ERLN;JAGN1;OSTC;PIGP;SPCS2;SPCS3;STT3A;TMX4;TUNAR;WFS1	ABCA1;ABCB9;ABCD4;SURF4	3.2711917198149023	5.67178428609985e-06	0.0005274759386072861	0.005583871629665302
ABCA4_0e765006d61f8741	GO Molecular Function	olfactory receptor activity (GO:0004984)	49	0	OR2D2;OR2G6;OR3A1;OR3A2;OR4A5;OR4A8;OR4B1;OR4C3;OR4C5;OR4C6;OR4D2;OR4E1;OR4E2;OR4F4;OR4F5;OR4F6;OR4K1;OR4K2;OR4K3;OR4K5;OR4M1;OR4M2;OR4N2;OR4N5;OR4P4;OR4Q2;OR4S1;OR4S2;OR4X1;OR4X2;OR5B3;OR5H8;OR5M3;OR5M8;OR5M9;OR6B2;OR6B3;OR6N2;OR6P1;OR6Q1;OR6S1;OR8B4;OR8B8;OR8I2;OR8K3;OR8K5;OR9A2;OR9A4;OR9I1		5.702579957161825	8.827240706819796e-09	5.031527202887284e-07	1.4253586312230292e-05
ABCA4_0e765006d61f8741	GO Molecular Function	ATP hydrolysis activity (GO:0016887)	1	12	ABCG1	ABCA1;ABCA2;ABCA3;ABCA4;ABCA7;ABCB5;ABCB9;ABCC8;ABCC9;ABCD4;ABCG2;ABCG4	-4.338370508043376	5.147227759836927e-06	0.00019559465487380324	0.0033861133137119814
ABCA4_0e765006d61f8741	GO Molecular Function	ABC-type transporter activity (GO:0140359)	1	10	ABCG1	ABCA1;ABCA2;ABCA3;ABCA4;ABCA7;ABCB5;ABCB9;ABCC8;ABCC9;ABCD4	-4.065536962684183	5.083139190880577e-05	0.0009657964462673097	0.027359611608612368
ABCA4_0e765006d61f8741	GO Molecular Function	ATPase-coupled transmembrane transporter activity (GO:0042626)	0	9		ABCA1;ABCA2;ABCA3;ABCA4;ABCA7;ABCB5;ABCC9;ABCD4;ABCG2	-5.499990801456376	2.1352681228484093e-05	0.0006011288267681744	0.012642210799344482
ABCA4_0e765006d61f8741	GO Molecular Function	ATP binding (GO:0005524)	2	12	ABCG1;P2RX6	ABCA1;ABCA2;ABCA3;ABCA4;ABCA7;ABCB5;ABCB9;ABCC8;ABCC9;ABCD4;ABCG2;ABCG4	-3.596979465496374	2.636529941965677e-05	0.0006011288267681744	0.015106466073933662
ABCA4_0e765006d61f8741	GO Molecular Function	G protein-coupled receptor activity (GO:0004930)	49	0	OR2D2;OR2G6;OR3A1;OR3A2;OR4A5;OR4A8;OR4B1;OR4C3;OR4C5;OR4C6;OR4D2;OR4E1;OR4E2;OR4F4;OR4F5;OR4F6;OR4K1;OR4K2;OR4K3;OR4K5;OR4M1;OR4M2;OR4N2;OR4N5;OR4P4;OR4Q2;OR4S1;OR4S2;OR4X1;OR4X2;OR5B3;OR5H8;OR5M3;OR5M8;OR5M9;OR6B2;OR6B3;OR6N2;OR6P1;OR6Q1;OR6S1;OR8B4;OR8B8;OR8I2;OR8K3;OR8K5;OR9A2;OR9A4;OR9I1		5.702579957161825	8.827240706819796e-09	5.031527202887284e-07	1.4253586312230292e-05
ABCA4_0e765006d61f8741	KEGG	ABC TRANSPORTERS	1	12	ABCG1	ABCA1;ABCA2;ABCA3;ABCA4;ABCA7;ABCB5;ABCB9;ABCC8;ABCC9;ABCD4;ABCG2;ABCG4	-4.338370508043376	5.147227759836927e-06	0.00012868069399592317	0.002780646818703015
ABCA4_0e765006d61f8741	KEGG	OLFACTORY TRANSDUCTION	44	0	OR2D2;OR2G6;OR3A1;OR3A2;OR4A5;OR4B1;OR4C3;OR4C5;OR4C6;OR4D2;OR4E1;OR4E2;OR4F6;OR4K1;OR4K2;OR4K3;OR4K5;OR4M1;OR4N2;OR4N5;OR4P4;OR4Q2;OR4S1;OR4S2;OR4X1;OR4X2;OR5B3;OR5M3;OR5M8;OR5M9;OR6B2;OR6B3;OR6N2;OR6P1;OR6Q1;OR6S1;OR8B4;OR8B8;OR8I2;OR8K3;OR8K5;OR9A2;OR9A4;OR9I1		5.523285360446417	4.855638274836204e-08	2.427819137418102e-06	2.9510141615317028e-05
ABCA4_0e765006d61f8741	Reactome	Olfactory Signaling Pathway (R-HSA-381753)	48	0	OR2D2;OR2G6;OR3A1;OR3A2;OR4A5;OR4A8;OR4B1;OR4C3;OR4C5;OR4C6;OR4D2;OR4E1;OR4E2;OR4F4;OR4F5;OR4F6;OR4K1;OR4K2;OR4K3;OR4K5;OR4M1;OR4M2;OR4N2;OR4N5;OR4P4;OR4Q2;OR4S1;OR4S2;OR4X1;OR4X2;OR5B3;OR5M3;OR5M8;OR5M9;OR6B2;OR6B3;OR6N2;OR6P1;OR6Q1;OR6S1;OR8B4;OR8B8;OR8I2;OR8K3;OR8K5;OR9A2;OR9A4;OR9I1		5.667965223766186	8.241381789617623e-09	9.106726877527473e-07	1.4774858400128017e-05
