threshold	wild_type_partner_count	median_changed_partner_count	median_jaccard_distance	clinical_roc_auc	clinical_positive_sequences	clinical_negative_sequences	strong_frequency_control_roc_auc	strong_frequency_control_positive_sequences	strong_frequency_control_negative_sequences	supporting_frequency_control_roc_auc	supporting_frequency_control_positive_sequences	supporting_frequency_control_negative_sequences	avi_spearman_rho	avi_sequence_count	missense_avi_spearman_rho	missense_avi_sequence_count
0.33	3078	32.0	0.010342598577892695	0.66971115136876	736	27	0.6286597124824684	736	31	0.6111696950032447	736	67	0.269872423337652	1849	0.048475514935893985	1680
0.3380771279335022	3012	37.0	0.012251655629139073	0.7035024154589372	736	27	0.6598001402524544	736	31	0.6316312459441921	736	67	0.2932615952516895	1849	0.0796120229419045	1680
0.34	2993	38.0	0.012582781456953643	0.6924064009661836	736	27	0.6459940392706872	736	31	0.6323308728098638	736	67	0.2908104178633614	1849	0.07622788629243145	1680
0.35	2908	36.0	0.012349914236706689	0.6839019726247987	736	27	0.639047159887798	736	31	0.6123154607397794	736	67	0.2712287514475881	1849	0.050802496436074804	1680
0.36	2813	24.0	0.00851063829787234	0.6894877214170693	736	27	0.6476376227208976	736	31	0.6250101395197923	736	67	0.2792639839051817	1849	0.060718677348057255	1680
0.37	2724	35.0	0.012755102040816327	0.6707930756843801	736	27	0.6334589761570828	736	31	0.6131570408825439	736	67	0.2957017958080513	1849	0.08234024564399639	1680
0.38	2643	32.0	0.012075471698113207	0.6805555555555556	736	27	0.6328892005610098	736	31	0.624736372485399	736	67	0.2705929819939227	1849	0.04948255959827822	1680
0.39	2554	31.0	0.01210464662241312	0.6776117149758454	736	27	0.6368338008415148	736	31	0.6226780499675535	736	67	0.274540001589687	1849	0.05456244141827934	1680
0.4	2469	28.0	0.011294876966518758	0.684128421900161	736	27	0.6429479312762973	736	31	0.6400267683322518	736	67	0.2826985560814223	1849	0.06494916267629337	1680
0.41	2376	31.0	0.012916666666666667	0.6509158615136876	736	27	0.6171546283309958	736	31	0.6201735885788449	736	67	0.2687669352970099	1849	0.04688248120403953	1680
0.42	2300	27.0	0.011713665943600867	0.6902677133655395	736	27	0.6459502103786816	736	31	0.6319354315379624	736	67	0.2698547903279837	1849	0.04848655309438623	1680
0.43	2227	22.0	0.009790832220738763	0.6974134460547504	736	27	0.654672159887798	736	31	0.6402599772874756	736	67	0.2841854178056967	1849	0.06723986871760557	1680
0.44	2151	30.0	0.013818516812528788	0.7353059581320451	736	27	0.6880259467040674	736	31	0.642429834523037	736	67	0.30288932689782727	1849	0.0917890592831736	1680
0.45	2081	23.0	0.011004784688995215	0.6894122383252818	736	27	0.6475499649368864	736	31	0.6528329818299805	736	67	0.2873745829856807	1849	0.0714629716027809	1680
0.46	2021	25.0	0.012315270935960592	0.6766807568438004	736	27	0.6374693197755961	736	31	0.6322193380921479	736	67	0.27343682934171143	1849	0.053129629032392205	1680
0.47	1941	31.0	0.015889287544848796	0.6807316827697263	736	27	0.6394854488078542	736	31	0.6293701330304997	736	67	0.2737332571581569	1849	0.053665632163147105	1680
0.48	1863	23.0	0.012253596164091636	0.6853613123993558	736	27	0.6547817321178121	736	31	0.6476415476963011	736	67	0.28169115044154297	1849	0.06379547697338736	1680
0.49	1805	23.0	0.012665198237885462	0.702319847020934	736	27	0.6666812762973352	736	31	0.6424703926022064	736	67	0.28821318408077606	1849	0.0725969180541856	1680
0.5	1728	26.0	0.01491681009753299	0.6700382447665056	736	27	0.6283090813464236	736	31	0.6393575600259571	736	67	0.29283507665848935	1849	0.07900883343683901	1680
0.51	1679	21.0	0.012448132780082987	0.6714221014492754	736	27	0.6323413394109397	736	31	0.6348758922777418	736	67	0.29186794827444507	1849	0.0773703051468396	1680
0.52	1613	27.0	0.016666666666666666	0.6905193236714976	736	27	0.6541242987377279	736	31	0.6498215444516547	736	67	0.2853068781550311	1849	0.06907267041537728	1680
0.53	1559	27.0	0.01717557251908397	0.6630434782608695	736	27	0.6162561360448808	736	31	0.6062114698247891	736	67	0.257905599793554	1849	0.03267111755020158	1680
0.54	1479	22.0	0.01478494623655914	0.674844001610306	736	27	0.6429698457223001	736	31	0.6430077871512005	736	67	0.28831938645013344	1849	0.07236949938797203	1680
0.55	1414	21.0	0.014705882352941176	0.6713466183574879	736	27	0.6351902173913043	736	31	0.6471548507462687	736	67	0.2923119226257482	1849	0.07818720857597987	1680
0.56	1361	20.0	0.014503263234227702	0.6899657809983897	736	27	0.6460378681626928	736	31	0.6368328195976638	736	67	0.29621116405305103	1849	0.08326520992119459	1680
0.57	1310	19.0	0.014328808446455505	0.7336704911433173	736	27	0.6917075736325385	736	31	0.6629420830629461	736	67	0.3504578401783503	1849	0.1544605194293878	1680
0.58	1267	14.0	0.010997643362136685	0.6532055152979066	736	27	0.6280680224403927	736	31	0.6538976314081765	736	67	0.28702801486712737	1849	0.07113900793246293	1680
0.59	1231	14.0	0.011299435028248588	0.653155193236715	736	27	0.6192145862552595	736	31	0.6328784068786503	736	67	0.27907273225658574	1849	0.060606900100823896	1680
0.6	1186	17.0	0.01423785594639866	0.6719253220611916	736	27	0.6395950210378681	736	31	0.6429469500324465	736	67	0.27917430191681836	1849	0.06116340843525435	1680
0.61	1141	12.0	0.010452961672473868	0.6684782608695652	736	27	0.6396607643758766	736	31	0.6467087118754056	736	67	0.2772794091491725	1849	0.057987481215233505	1680
0.62	1097	18.0	0.016304347826086956	0.7179196859903382	736	27	0.6860317321178121	736	31	0.6759510869565217	736	67	0.30828329709250885	1849	0.0991671422550099	1680
0.63	1059	20.0	0.01876172607879925	0.6885567632850241	736	27	0.6500920406732118	736	31	0.6467999675535366	736	67	0.31980379256923785	1849	0.11539073628448886	1680
0.64	1008	15.0	0.014822134387351778	0.6641757246376812	736	27	0.634335553997195	736	31	0.6442752271252433	736	67	0.30550418395712525	1849	0.09554005685889651	1680
0.65	968	15.0	0.015368852459016393	0.6286231884057971	736	27	0.603742987377279	736	31	0.6320266872160935	736	67	0.25444476454820325	1849	0.027884000511661344	1680
0.66	924	12.0	0.01293103448275862	0.6469404186795491	736	27	0.6159055049088359	736	31	0.61114941596366	736	67	0.2693298700126413	1849	0.047843412152334314	1680
0.67	887	16.0	0.017957351290684626	0.6537842190016103	736	27	0.6198062762973352	736	31	0.626510788449059	736	67	0.2914912611946768	1849	0.07715051545597378	1680
0.68	853	13.0	0.015063731170336037	0.6906702898550725	736	27	0.6653883239831697	736	31	0.6651322193380922	736	67	0.3339664653461852	1849	0.1328351848718981	1680
0.69	807	12.0	0.014760147601476014	0.6991998792270532	736	27	0.6654102384291725	736	31	0.6558545587280986	736	67	0.309897701350315	1849	0.10106833938778094	1680
0.7	775	13.0	0.01668806161745828	0.6216032608695652	736	27	0.5793083800841514	736	31	0.5910123296560675	736	67	0.2464074485664844	1849	0.017679983701438008	1680
0.71	739	9.0	0.012064343163538873	0.6585144927536232	736	27	0.6239261921458625	736	31	0.6182977774172616	736	67	0.23497683511969933	1849	0.0024633466276103464	1680
0.72	707	14.0	0.0196078431372549	0.6828955314009661	736	27	0.6642926016830295	736	31	0.6596974367293965	736	67	0.32221713692917825	1849	0.1178221716799319	1680
0.73	671	12.0	0.017804154302670624	0.6292270531400966	736	27	0.6036334151472651	736	31	0.6256286502271252	736	67	0.22989948334473265	1849	-0.004414809191146012	1680
0.74	635	10.0	0.01564945226917058	0.7207880434782609	736	27	0.6848483520336606	736	31	0.6590282284231019	736	67	0.3012685146653457	1849	0.09057149899271506	1680
0.75	604	10.0	0.016366612111292964	0.6797755636070854	736	27	0.6474403927068724	736	31	0.6346528228423102	736	67	0.26330849734989953	1849	0.039756148394743465	1680
0.76	573	10.0	0.017271157167530225	0.6942431561996779	736	27	0.6779014726507714	736	31	0.6754542504866969	736	67	0.2984426036678757	1849	0.08757842570508709	1680
0.77	542	12.0	0.021937842778793418	0.6707427536231884	736	27	0.6460816970546984	736	31	0.6369443543153797	736	67	0.29412697677557625	1849	0.08134305204993658	1680
0.78	511	11.0	0.02131782945736434	0.6514442431561996	736	27	0.6212307152875175	736	31	0.651220798182998	736	67	0.3162167381111275	1849	0.1112899495513177	1680
0.79	488	5.0	0.01020408163265306	0.6507397342995169	736	27	0.6194118162692848	736	31	0.6397428617780662	736	67	0.27908097989010605	1849	0.06053660080172635	1680
0.8	452	11.0	0.023809523809523808	0.6863425925925926	736	27	0.6566225455820477	736	31	0.6382624918883841	736	67	0.27602857372942424	1849	0.05666395898322787	1680
0.81	419	8.0	0.018867924528301886	0.6851348631239935	736	27	0.6567759467040674	736	31	0.6471751297858533	736	67	0.2961150188212397	1849	0.08295323967390968	1680
0.82	381	7.0	0.01808785529715762	0.6389140499194848	736	27	0.6193241584852734	736	31	0.6248580467229072	736	67	0.2849225689680747	1849	0.06875910777881623	1680
0.83	351	5.0	0.014124293785310734	0.6664905394524959	736	27	0.6566663744740533	736	31	0.6334664990266061	736	67	0.2961273567128751	1849	0.08345923489179116	1680
0.84	324	6.0	0.01834862385321101	0.687902576489533	736	27	0.6844100631136045	736	31	0.6451066677482155	736	67	0.2845190252793739	1849	0.06985684652377322	1680
0.85	306	3.0	0.009771986970684038	0.6890348228663447	736	27	0.6843443197755961	736	31	0.6596670181700195	736	67	0.23144188606683322	1849	-0.0014940212806636543	1680
0.86	280	4.0	0.014285714285714285	0.651670692431562	736	27	0.6360010518934082	736	31	0.6320469662556781	736	67	0.26847495746487443	1849	0.047116539535648774	1680
0.87	255	7.0	0.027131782945736434	0.6351398953301127	736	27	0.6111500701262272	736	31	0.6124067164179104	736	67	0.23413506818337726	1849	0.0016990435604758245	1680
0.88	219	5.0	0.02252252252252252	0.7042572463768116	736	27	0.7020073632538569	736	31	0.663530175210902	736	67	0.2879046674740971	1849	0.07283675097189979	1680
0.89	192	6.0	0.030456852791878174	0.6588919082125604	736	27	0.6472869915848527	736	31	0.6337504055807917	736	67	0.24992931082502473	1849	0.022018130795058845	1680
0.9	162	4.0	0.024242424242424242	0.66460346215781	736	27	0.6495441795231417	736	31	0.6256489292667099	736	67	0.22983630444285966	1849	-0.004271857185800357	1680
0.91	131	7.0	0.050724637681159424	0.6747685185185185	736	27	0.696835553997195	736	31	0.6444881570408826	736	67	0.29220147276045355	1849	0.07779594528210973	1680
