human_index	human_id	human_accession	gene_symbol	sequence_sha256
0	sp|A0A0J9YXV3|GREP1_HUMAN	A0A0J9YXV3	GREP1	d597bde492fb1c452c5f87dcbb17f3febf36aeef05da20f869a02303518b7109
1	sp|A6NGW2|STRCL_HUMAN	A6NGW2	STRCL	ac24fcf75388b9e75b0762a83e2ca5f6d76c17535b78009ff2f16064dbc62ab6
2	sp|A6NIY4|SPDE5_HUMAN	A6NIY4	SPDE5	cf7093009a95e700ee0744b1876000fcdb541eb690f19f6462cad861ae0bf0e4
3	sp|B3EWG6|FM25G_HUMAN	B3EWG6	FM25G	06e7d1899ec69fa9331e3b9c4ef4b5809355d179eb101f15f5ebda89bef0ac72
4	sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3	002ea1df202bf9d3d966daf52bb4a710c8271a9c1c2050a0aaf66d62dcbf9c9c
5	sp|O00165|HAX1_HUMAN	O00165	HAX1	d8d11d6083e585a720a87a543f656e30b0eaec284ad2725f092a629e818c7916
6	sp|O00233|PSMD9_HUMAN	O00233	PSMD9	f3119ac2e2413e7bfe4bf5e89f85f98c8bb3b6993307e94625e69b5e3662c9b5
7	sp|O43182|RHG06_HUMAN	O43182	RHG06	586b46531b09a913159972d3575bb8f5d5d87dafaa7cb65d6689364f7b39766d
8	sp|O43304|S14L5_HUMAN	O43304	S14L5	a14b6af9c88151d82ab22bebd0613efe9f1099b6664a2ee669ef456e0e151720
9	sp|O43827|ANGL7_HUMAN	O43827	ANGL7	dd9273956c080a6c538a9eee858c82009f0fe2b8bae740465d68bf7deddae07d
10	sp|O60684|IMA7_HUMAN	O60684	IMA7	a090cc1142f7d41f11b963007154645dc91fd883c341f0f9904d3d812de9b72d
11	sp|O75093|SLIT1_HUMAN	O75093	SLIT1	385a98ba1f671cb0f0fd2effb75cc8a0af2b1cf7aed3207932c6748dbfce13c6
12	sp|O75347|TBCA_HUMAN	O75347	TBCA	7c655a72e5ea3aa9fd6698201350d30443ea40155c2a4a28ae9102690b784e50
13	sp|O75678|RFPL2_HUMAN	O75678	RFPL2	8411f989caece538393a522f9dad845060ad56be93545546cbcd5534d50673f7
14	sp|O95674|CDS2_HUMAN	O95674	CDS2	5c7f7e597afea2aab583cc1ef094f67984395d4ae00412212cd0506ac2a7c555
15	sp|O95816|BAG2_HUMAN	O95816	BAG2	89c9d45ae70e22e20f4e91d5329f287b8798aa7fab5bcf022e0b15d4c1346bc1
