sequence_id	high_confidence_partner_count	gained_partner_count	lost_partner_count	jaccard_distance	mean_absolute_score_change	maximum_absolute_score_change
ABCA4_WT	162	0	0	0.0	0.0	0.0
ABCA4_659946516a9204f6	258	258	162	1.0	0.17529195547103882	0.9803314805030823
ABCA4_3b734c13c39e2bc7	137	137	162	1.0	0.16710899770259857	0.9659043550491333
ABCA4_818072595dac88f3	231	231	162	1.0	0.17295175790786743	0.9497235417366028
ABCA4_d2f361666d498b0b	525	523	160	0.997080291970803	0.14727233350276947	0.9390218257904053
ABCA4_d994867fe14e81b6	588	581	155	0.990578734858681	0.1366865634918213	0.9338383674621582
ABCA4_9669e9120936223e	628	612	146	0.979328165374677	0.1364830881357193	0.9381513595581055
ABCA4_0e765006d61f8741	343	327	146	0.967280163599182	0.13085266947746277	0.9127340316772461
ABCA4_20c8c9805d03a440	121	118	159	0.9892857142857143	0.11357775330543518	0.876239538192749
ABCA4_15f46db8d455f120	106	105	161	0.9962546816479401	0.11176193505525589	0.8754245638847351
ABCA4_8d3af4586753e26b	179	165	148	0.9571865443425076	0.0975235179066658	0.8394515514373779
ABCA4_f340a84b5d7c291b	183	169	148	0.9577039274924471	0.09649915248155594	0.8335002660751343
ABCA4_dee45f5398d9f480	192	178	148	0.9588235294117647	0.09884007275104523	0.8415634632110596
ABCA4_e4b486cb2e7d8cb6	171	159	150	0.9626168224299065	0.099941685795784	0.8464804887771606
ABCA4_32f83d0e71764f02	195	171	138	0.9279279279279279	0.08372687548398972	0.8037989735603333
ABCA4_b293d1e24868089a	191	170	141	0.9367469879518072	0.08673307299613953	0.806702733039856
ABCA4_a69d6de122f1d2bd	216	192	138	0.9322033898305084	0.08402550965547562	0.8063957095146179
ABCA4_ab4e63b29814b175	231	203	134	0.9232876712328767	0.08324985206127167	0.8071334958076477
ABCA4_1bfb09d0f5f9134d	212	185	135	0.9221902017291066	0.07861590385437012	0.8194422125816345
ABCA4_80bb23a18ff03ad3	158	145	149	0.9576547231270358	0.07631679624319077	0.799860954284668
ABCA4_f4c005519ce623a8	171	164	155	0.9785276073619632	0.07468688488006592	0.8767359852790833
ABCA4_b448fa79d7626c54	174	164	152	0.9693251533742331	0.07382381707429886	0.87489253282547
ABCA4_dbf51afffc52766a	178	176	160	0.9940828402366864	0.07832896709442139	0.8985233902931213
ABCA4_c5d310aa495273c8	156	154	160	0.9936708860759493	0.07979230582714081	0.8874143958091736
ABCA4_ed01557f9e5b7cb1	163	161	160	0.9938080495356038	0.07955583930015564	0.8848473429679871
ABCA4_1eb17fcc9a04d0bf	133	121	150	0.9575971731448764	0.06347749382257462	0.7859656810760498
